"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTD-2292P10.2",0.83590625874865,2.03390663657944,1.56478962753451,1.29979557685596,0.193671041893988,0.281224271239147
"CTD-2292P10.4",28.5745973407548,1.36007196523141,0.589867132409911,2.30572596861741,0.021125949120004,0.0453284770345884
"CTD-2293H3.1",66.5504929640437,-2.62562349384695,0.731239732668762,-3.59064664643478,0.000329858577285422,0.00123284753477807
"CTD-2293H3.2",2.81256246175931,1.35011186397436,0.725114028377389,1.86193041526938,0.0626128991955665,0.112036544222218
"CTD-2296D1.5",6.16496381219955,-4.24129307367434,1.0840630099774,-3.91240456932735,9.13816537230534e-05,0.000392473746691977
"CTD-2297D10.2",4.13526562051241,-0.307062365291249,1.06272018376353,-0.288939995666417,0.77262729630934,0.829681145003569
"CTD-2298J14.2",159.739984729057,-4.81732203071282,0.600107466304888,-8.02743225371795,9.95338995686609e-16,2.87241069921366e-14
"CTD-2299I21.1",1.59722866862193,3.05280462449952,1.06993299382419,2.85326711310032,0.00432722320586428,0.0117061497270764
"CTD-2301A4.3",24.5772800981675,-2.76140976568313,0.677862741070194,-4.07370046821497,4.62719860678309e-05,0.000215550527802903
"CTD-2302A16.2",2.2856912245318,0.765892110196463,0.826109251079234,0.927107533532516,0.353870705082648,0.453470827464538
"CTD-2302E22.4",13.7672580172257,-3.23954159023856,0.646107967787392,-5.01393227099864,5.33287649698464e-07,3.79655189311809e-06
"CTD-2302E22.5",10.6904283224702,2.23546667473194,0.64556092895228,3.46282833188189,0.000534529312611816,0.00188946753860155
"CTD-2303H24.2",96.728053075536,5.52086184138584,0.529226084264535,10.4319533854008,1.77207258556924e-25,1.44053016810634e-23
"CTD-2306M5.1",5.56412250054719,-1.32076420979882,0.554713106231571,-2.38098612591182,0.0172663622452553,0.0381327242004675
"CTD-2307P3.1",8.5866923523705,-4.19044767123135,1.39889781939501,-2.99553520859987,0.00273963671333145,0.00790621269882361
"CTD-2308G16.1",5.0996183965637,0.209530556618906,0.753086082745777,0.278229224280644,0.780836402448752,0.836313499485883
"CTD-2308L22.1",15.1198410696001,-0.354769530794693,0.67032194755064,-0.529252446665402,0.596630338654301,0.682798067940613
"CTD-2308N23.2",13.4758408124745,-1.99107832418333,0.603757732600181,-3.29781005968805,0.000974420252651016,0.00321366764301604
"CTD-2309O5.3",5.52467854517249,4.43849395663888,1.53582631730025,2.88997128558202,0.00385277016709941,0.0105813067130984
"CTD-2310F14.1",4.70071939299646,-0.146155540024738,0.433669391841375,-0.337020649311119,0.736101333891722,0.80099838077539
"CTD-2311M21.2",2.32366025092866,0.518793780477809,0.69857003873616,0.742651061039492,0.457692966030514,0.555100726977413
"CTD-2311M21.3",4.51997559122355,0.914699891584133,0.548612076342318,1.66729813474501,0.0954551373666095,0.15852314263668
"CTD-2313F11.1",4.65768561082249,0.903959094133446,0.595471545660926,1.51805590161344,0.129000306803067,0.20286607690029
"CTD-2313F11.3",0.659433096277991,0.498782189425114,1.61648133068769,0.308560439243008,0.757655918158718,0.818255516757054
"CTD-2313J17.1",13.6878025832912,1.16840985067316,0.442565880146479,2.64008117906975,0.00828861704699796,0.02046467306218
"CTD-2313J17.5",44.8916679089678,0.537581713715656,0.216372720201352,2.48451705564081,0.0129727293677963,0.0299462938782447
"CTD-2313J23.1",4.51531131769441,0.661775623168868,0.605810085799205,1.09238132325881,0.274665528713453,0.371140219615511
"CTD-2314G24.2",956.67063681797,-0.154564410628472,0.349693019629177,-0.442000274390307,0.65848900736968,0.735823640442986
"CTD-2315E11.1",3.27317070424379,-2.51590657973607,1.01540060503105,-2.47774776504012,0.0132214576457943,0.0304200132966094
"CTD-2319I12.2",39.7830648672727,-2.01264191306947,0.595988273609378,-3.37698240416823,0.000732857381053006,0.00249435538020524
"CTD-2319I12.3",6.43956514030594,3.75177114037228,0.79712314734952,4.70663931018329,2.51833909215869e-06,1.55424485484717e-05
"CTD-2319I12.4",78.5932206153866,-0.85280957228081,0.341447434674924,-2.4976306326411,0.0125026390314224,0.0290457587334632
"CTD-2319I12.5",3.10537587174038,-3.08285348689183,1.18254825012296,-2.60695788655665,0.00913505948174243,0.022219083530264
"CTD-2320G14.2",17.3613009720389,1.57865795899253,0.474191177341456,3.32915928095341,0.000871085721049051,0.00290557241892638
"CTD-2323K18.1",6.7109655541411,1.08072082323249,0.509186764468333,2.1224448446945,0.0338003997327368,0.0672066537348017
"CTD-2323K18.2",1.07717049447614,0.215166130745049,0.938043228395686,0.229377628057763,0.818575422880853,0.864919325632618
"CTD-2325M2.1",49.8548743661707,-1.51149176388434,0.367885569108513,-4.10859215692285,3.98078353881836e-05,0.000188483966948047
"CTD-2325P2.4",2.54456831195309,-3.3531873610092,1.81543102223511,-1.84704751650704,0.0647402539648559,0.115172495825004
"CTD-2329K10.1",1.33982991637229,0.9385307545077,0.910508191787484,1.03077683756497,0.302645482530412,0.400358497255331
"CTD-2330K9.3",1.52615176852653,-1.21814769723283,0.94887118483699,-1.28378616265188,0.199216786522168,0.287812472530787
"CTD-2331H12.5",29.9690833424998,0.907187590360036,0.337288074183588,2.68965213951279,0.00715265349930145,0.0180651013777516
"CTD-2331H12.7",5.99350013320861,-0.558307709965101,0.523513974574714,-1.06646190375081,0.286214891154653,0.383081090137783
